,gongsi_동리,diff
0,가락동,0.5950866566291135
1,가리봉동,0.2691263605776082
2,가산동,0.3309433330468742
3,가양동,0.5805807152585392
4,갈현동,0.2687450384895195
5,강일동,0.48827256149005693
6,개봉동,0.3566970001374088
7,개포동,0.960038745800569
8,거여동,0.6290264720387689
9,견지동,0.32466502070011205
10,고덕동,0.6745071699398263
11,고척동,0.34895155315973825
12,공덕동,0.7256939496016241
13,공릉동,0.401874316020587
14,공항동,0.3609715930874676
15,광장동,0.6880536290816761
16,교북동,0.7468578061595399
17,구기동,0.31805390433766506
18,구로동,0.34654311174645386
19,구산동,0.2875731235455947
20,구수동,0.7911176885282216
21,구의동,0.4833978663669444
22,군자동,0.42114328706813725
23,궁동,0.18229478020316886
24,금호동1가,0.7159487732722501
25,금호동2가,0.7464137954090259
26,금호동3가,0.6514648285633781
27,금호동4가,0.7521032794080738
28,길동,0.33780658706422284
29,길음동,0.5433816421401768
30,남가좌동,0.5214533647221339
31,남대문로5가,0.49955606915181305
32,남현동,0.40008292004201657
33,내곡동,0.6794713757913136
34,내발산동,0.42352742806650245
35,내수동,0.37995456821266244
36,냉천동,0.5755244779456249
37,노고산동,0.2730541996938255
38,노량진동,0.525294932889254
39,녹번동,0.5127973182611706
40,논현동,0.5112894844042508
41,답십리동,0.4761795723910631
42,당산동,0.41278300750777686
43,당산동1가,0.6421751204225654
44,당산동2가,0.4886726543529379
45,당산동3가,0.5991118692796121
46,당산동4가,0.5765889866584573
47,당산동5가,0.530572959342729
48,당산동6가,0.22584339010477983
49,대림동,0.3542491907226266
50,대방동,0.453416537085421
51,대조동,0.3035450858898405
52,대치동,0.7984581649754109
53,대현동,0.4176493325166038
54,대흥동,0.6480689138675401
55,도곡동,0.7645662335365901
56,도림동,0.5356199272085338
57,도봉동,0.31677043254454335
58,도선동,0.4625624299453442
59,도원동,0.7729906142113411
60,도화동,0.579251971882489
61,독산동,0.3350712748454938
62,돈암동,0.4154000716556683
63,동빙고동,0.48210199286802563
64,동선동4가,0.3118830495050849
65,동소문동4가,0.3853018578194005
66,동소문동5가,0.37405368715957904
67,동소문동6가,0.10038614305961141
68,동소문동7가,0.44948837417909204
69,동작동,0.6689055043194762
70,둔촌동,0.48680900206625616
71,등촌동,0.47592461312870576
72,마곡동,0.5778837805361413
73,마장동,0.606276004533037
74,마천동,0.512649165819603
75,마포동,0.33294906499573595
76,망우동,0.28412968074951095
77,망원동,0.4042081613692268
78,면목동,0.3699810484167516
79,명륜1가,0.3651139578029757
80,명륜2가,0.43796930380221555
81,명일동,0.6128389851659155
82,목동,0.5410074165351662
83,무악동,0.575438553087496
84,묵동,0.3922860296872784
85,묵정동,0.26930578245379927
86,문래동2가,0.6640506438906884
87,문래동3가,0.48787200872601066
88,문래동4가,0.5281339980428168
89,문래동5가,0.4835612922578591
90,문래동6가,0.5098958427039058
91,문배동,0.5953919587819034
92,문정동,0.6726628412251909
93,미아동,0.3991893830482431
94,반포동,0.9610955829405573
95,방배동,0.5558813051922025
96,방이동,0.6127157486019709
97,방학동,0.2899293594110449
98,방화동,0.4100712875546842
99,번동,0.35963471423110077
100,보광동,0.9046494015182809
101,보문동3가,0.5348581953899475
102,보문동6가,0.6992340070849965
103,본동,0.5847947073573783
104,봉천동,0.45629386202386785
105,부암동,0.23658594692761326
106,북가좌동,0.45756341535614087
107,북아현동,0.6124762446291436
108,불광동,0.4443649205296453
109,사근동,0.41405206482802315
110,사당동,0.5664554839767217
111,사직동,0.36283063703320423
112,산천동,0.6661795241355458
113,삼선동2가,0.45113773555707043
114,삼선동3가,0.4400491965227272
115,삼선동4가,0.45760553406510823
116,삼선동5가,0.23352726694383294
117,삼성동,0.6304888994010656
118,삼전동,0.4066057407575183
119,상계동,0.49070203252097405
120,상도1동,0.3194293484336772
121,상도동,0.4967098686825174
122,상봉동,0.36330439544472715
123,상수동,0.6599884917271874
124,상암동,0.5442702730968064
125,상왕십리동,0.5973957934804794
126,상월곡동,0.3949959275391429
127,상일동,0.6297323524313984
128,서교동,0.2926280123918414
129,서빙고동,0.7957532190699975
130,서초동,0.5564355153834742
131,석관동,0.49899769606398975
132,석촌동,0.4091478990829635
133,성내동,0.4444606965962107
134,성북동,0.1760560460727055
135,성북동1가,0.6520406840144722
136,성산동,0.6147265035046946
137,성수동1가,0.774628876906259
138,성수동2가,0.6984934742115017
139,세곡동,0.7629383475982976
140,송정동,0.43511833770326996
141,송파동,0.5200763950808034
142,수색동,0.4453404766515237
143,수서동,0.8334445817267894
144,수유동,0.26976562487154643
145,순화동,0.6613962645499815
146,숭인동,0.3543073028133674
147,시흥동,0.3193808522158892
148,신계동,0.8055051718265301
149,신공덕동,0.6804454930677807
150,신교동,0.3795697254740469
151,신길동,0.5348863307697952
152,신내동,0.39148224973958506
153,신당동,0.4624539234277334
154,신대방동,0.499967254703238
155,신도림동,0.5139211970017883
156,신림동,0.3480662303173737
157,신문로1가,0.3739166930897103
158,신사동,0.37312685974989346
159,신설동,0.27659315842045995
160,신수동,0.5528744253917626
161,신영동,0.21951256952188722
162,신원동,0.7238813192159369
163,신월동,0.3327767126336958
164,신정동,0.5496030513429303
165,신창동,0.5053171997263025
166,신천동,0.8606145220557339
167,쌍문동,0.3184174743086171
168,아현동,0.7035214284782497
169,안암동1가,0.47067231090217465
170,안암동3가,0.2720371742932271
171,안암동4가,0.19720384150380646
172,암사동,0.5527072193612076
173,압구정동,1.0
174,양재동,0.4583746659290178
175,양평동1가,0.48935916988036193
176,양평동2가,0.5093473541500262
177,양평동3가,0.534529840398732
178,양평동4가,0.42103071572187617
179,양평동5가,0.5549216000230117
180,양평동6가,0.39408509390965696
181,여의도동,0.6338101934851841
182,역삼동,0.5769764654819666
183,역촌동,0.24033538760750345
184,연건동,0.3585672798220006
185,연남동,0.38410061386181366
186,연희동,0.3290873589661311
187,염리동,0.6549604698171307
188,염창동,0.48426813885528736
189,영등포동,0.5688378592162415
190,영등포동1가,0.2970581658046673
191,영등포동2가,0.3251031922257116
192,영등포동3가,0.25755565112296774
193,영등포동4가,0.3034325093574096
194,영등포동5가,0.40616894005187254
195,영등포동7가,0.4414372652443722
196,영등포동8가,0.5602674100917088
197,영천동,0.46258185663452905
198,오금동,0.566864816909133
199,오류동,0.3129929731079702
200,오장동,0.2986349740207885
201,옥수동,0.7077597969378892
202,옥인동,0.33813520305590017
203,온수동,0.4151453926512527
204,용강동,0.6712997532651745
205,용답동,0.4870606097152431
206,용두동,0.4542195955865506
207,용문동,0.6419471671125472
208,용산동2가,0.38722987210464654
209,용산동5가,0.6303022034713929
210,우면동,0.4654548590281078
211,우이동,0.25251512828166944
212,원효로1가,0.4551533641328017
213,원효로2가,0.34157963809367653
214,원효로4가,0.764874112745909
215,월계동,0.4610090864256844
216,율현동,0.9133651842461987
217,을지로5가,0.26310428805795816
218,응봉동,0.6095161932599817
219,응암동,0.392785200259368
220,이문동,0.40995263315399416
221,이촌동,0.7721118562769259
222,이태원동,0.5276317417858991
223,이화동,0.1715610562961309
224,익선동,0.19145082666550908
225,인현동2가,0.24585373763031582
226,일원동,0.8635197744946776
227,자곡동,-0.06128828523389585
228,자양동,0.601267000281709
229,잠실동,0.8290740470656952
230,잠원동,0.7997276924589917
231,장안동,0.3382028497442686
232,장위동,0.40442095173853737
233,장지동,0.737513044658573
234,장충동1가,0.3716850258138451
235,장충동2가,0.1591630111809117
236,전농동,0.5434830183578102
237,정동,0.6465904527854439
238,정릉동,0.39708145701733377
239,제기동,0.3827492629072065
240,종암동,0.48696842748512975
241,중계동,0.4862313372286602
242,중곡동,0.3971386733373875
243,중동,0.47506813100138906
244,중림동,0.3304511552083743
245,중화동,0.39977826832520086
246,증산동,0.37563381946982916
247,진관동,0.4382047728072017
248,창동,0.4686948133485742
249,창신동,0.43476261288376966
250,창전동,0.559965027702925
251,창천동,0.21323825964871218
252,천연동,0.6364820319573314
253,천왕동,0.41918853538196466
254,천호동,0.4102752497384404
255,청담동,0.5826241616319547
256,청량리동,0.4538247460528586
257,청암동,0.5066007635399552
258,청운동,0.3064085221789098
259,청파동3가,0.24839325296191114
260,충무로4가,0.29773935312112887
261,충무로5가,0.2764155804975022
262,충신동,0.15811836335776414
263,충정로2가,0.3463489406522475
264,충정로3가,0.3889759314571909
265,토정동,0.5879607891701182
266,통인동,0.28804553166676355
267,평동,0.7819663493957074
268,평창동,0.2781832748079431
269,풍납동,0.6123649422797546
270,필운동,0.5775382421665538
271,하계동,0.4831929391238875
272,하왕십리동,0.5782731638635716
273,하월곡동,0.4419984075117395
274,하중동,0.6979794088973621
275,한강로2가,0.4543685522650568
276,한강로3가,0.5601070058059161
277,한남동,0.7649813477448373
278,합동,0.4787251783695107
279,합정동,0.4312714706813262
280,항동,0.432859737260084
281,행당동,0.6256854925054659
282,행촌동,0.3092521916363671
283,현석동,0.6143326768301135
284,현저동,0.4861038446502288
285,홍은동,0.34601691019680864
286,홍익동,0.5407642259337438
287,홍제동,0.4538357687747945
288,홍파동,0.6795031911658147
289,화곡동,0.29037918864631573
290,화양동,0.23064232300603293
291,황학동,0.39360665003159334
292,회기동,0.41067246948696556
293,회현동1가,0.17298432533990926
294,효제동,0.3430586662317234
295,효창동,0.6403593570339773
296,후암동,0.41218013521452596
297,휘경동,0.426120000534592
298,흑석동,0.6892512144738027
299,흥인동,0.11864898005217898
